"","samplingYear","CharacteristicName","AnnualMedian","AnnualMean","AnnualCount","AnnualSD","Annuallower_ci","Annualupper_ci","site","Park"
"352","2020","Temperature, water",6.3,6.23,6,NA,NA,NA,"BLBZ","CATO"
"353","2021","Salinity",0.04,0.04,6,0,0.04,0.04,"BLBZ","CATO"
"354","2021","Specific conductance",82.95,83.85,6,5.51,78.07,89.63,"BLBZ","CATO"
"355","2021","Temperature, water",11.4,10.73,6,7.63,2.73,18.74,"BLBZ","CATO"
"356","2022","Salinity",0.04,0.05,7,0.03,0.03,0.08,"BLBZ","CATO"
"357","2022","Specific conductance",93,113.09,7,48.27,68.44,157.73,"BLBZ","CATO"
"358","2022","Temperature, water",14.2,10.16,7,8.3,2.48,17.83,"BLBZ","CATO"
"359","2023","Salinity",0.04,0.04,4,0.01,0.03,0.05,"BLBZ","CATO"
"360","2023","Specific conductance",81,81.78,4,7.7,69.53,94.02,"BLBZ","CATO"
"361","2023","Temperature, water",11.3,11.3,4,5.63,2.34,20.26,"BLBZ","CATO"
"362","2005","Salinity",0.08,0.08,4,0.01,0.07,0.08,"OWCK","CATO"
"363","2005","Specific conductance",144.35,149.18,6,17.79,130.52,167.85,"OWCK","CATO"
"364","2005","Temperature, water",14.7,12.12,6,5.04,6.82,17.41,"OWCK","CATO"
"365","2006","Salinity",0.1,0.08,29,0.02,0.07,0.09,"OWCK","CATO"
"366","2006","Specific conductance",129.3,132.38,29,14.9,126.71,138.05,"OWCK","CATO"
"367","2006","Temperature, water",7.6,9.73,29,5.3,7.71,11.75,"OWCK","CATO"
"368","2007","Salinity",0.1,0.09,31,0.02,0.08,0.09,"OWCK","CATO"
"369","2007","Specific conductance",148.5,141.02,28,20.08,133.23,148.8,"OWCK","CATO"
"370","2007","Temperature, water",12.4,11.49,31,6.49,9.11,13.86,"OWCK","CATO"
"371","2008","Salinity",0.1,0.09,29,0.02,0.08,0.09,"OWCK","CATO"
"372","2008","Specific conductance",149.45,148.46,29,19.04,141.21,155.7,"OWCK","CATO"
"373","2008","Temperature, water",11.3,9.92,29,5.5,7.83,12.01,"OWCK","CATO"
"374","2009","Salinity",0.07,0.07,23,NA,NA,NA,"OWCK","CATO"
"375","2009","Specific conductance",148.65,147.12,20,20.95,137.31,156.92,"OWCK","CATO"
"376","2009","Temperature, water",15.65,13.47,20,4.53,11.35,15.59,"OWCK","CATO"
"377","2010","Salinity",0.07,0.07,18,0.01,0.07,0.08,"OWCK","CATO"
"378","2010","Specific conductance",146.4,145.73,19,12.07,139.91,151.54,"OWCK","CATO"
"379","2010","Temperature, water",13.9,11.47,18,5.64,8.66,14.27,"OWCK","CATO"
"380","2011","Salinity",0.07,0.07,19,0.01,0.06,0.07,"OWCK","CATO"
"381","2011","Specific conductance",148.3,147.85,19,18.21,139.07,156.63,"OWCK","CATO"
"382","2011","Temperature, water",12.1,11.42,19,5.44,8.79,14.04,"OWCK","CATO"
"383","2012","Salinity",0.06,0.06,18,0.01,0.06,0.07,"OWCK","CATO"
"384","2012","Specific conductance",133.7,137.17,18,15.64,129.4,144.95,"OWCK","CATO"
"385","2012","Temperature, water",9.05,9.4,18,5.63,6.6,12.2,"OWCK","CATO"
"386","2013","Salinity",0.08,0.08,22,0.01,0.07,0.08,"OWCK","CATO"
"387","2013","Specific conductance",159.25,163.37,22,21.91,153.65,173.08,"OWCK","CATO"
"388","2013","Temperature, water",10.2,10.86,22,6.44,8.01,13.72,"OWCK","CATO"
"389","2014","Salinity",0.08,0.07,14,0.01,0.07,0.08,"OWCK","CATO"
"390","2014","Specific conductance",159.8,156.41,14,14.91,147.81,165.02,"OWCK","CATO"
"391","2014","Temperature, water",12.1,11.26,14,5.24,8.24,14.29,"OWCK","CATO"
"392","2015","Salinity",0.08,0.08,9,0,0.07,0.08,"OWCK","CATO"
"393","2015","Specific conductance",164.1,165.93,9,11.06,157.43,174.44,"OWCK","CATO"
"394","2015","Temperature, water",11.9,11.16,9,6.85,5.89,16.42,"OWCK","CATO"
"395","2016","Salinity",0.07,0.07,11,NA,NA,NA,"OWCK","CATO"
"396","2016","Specific conductance",157,156.09,11,NA,NA,NA,"OWCK","CATO"
"397","2016","Temperature, water",14.25,12.42,11,NA,NA,NA,"OWCK","CATO"
"398","2017","Salinity",0.08,0.08,15,0,0.08,0.08,"OWCK","CATO"
"399","2017","Specific conductance",167.4,164.35,15,9.55,159.06,169.64,"OWCK","CATO"
"400","2017","Temperature, water",12.2,12.07,15,5,9.3,14.83,"OWCK","CATO"
"401","2018","Salinity",0.07,0.07,12,0.01,0.06,0.08,"OWCK","CATO"
"402","2018","Specific conductance",141.05,148.99,12,23.47,134.08,163.91,"OWCK","CATO"
"403","2018","Temperature, water",9.55,9.35,12,6.87,4.99,13.71,"OWCK","CATO"
"404","2019","Salinity",0.07,0.07,9,0.01,0.06,0.07,"OWCK","CATO"
"405","2019","Specific conductance",138.2,142.99,9,11.69,134,151.98,"OWCK","CATO"
"406","2019","Temperature, water",12.9,11.42,9,5.17,7.45,15.4,"OWCK","CATO"
