"","samplingYear","CharacteristicName","AnnualMedian","AnnualMean","AnnualCount","AnnualSD","Annuallower_ci","Annualupper_ci","site","Park"
"564","2009","Temperature, water",10.9,13.85,18,7.32,10.21,17.49,"SFQC","PRWI"
"565","2010","Salinity",0.03,0.03,19,0.01,0.02,0.03,"SFQC","PRWI"
"566","2010","Specific conductance",62.6,65.89,19,12.08,60.07,71.72,"SFQC","PRWI"
"567","2010","Temperature, water",12.3,12.26,19,7.4,8.69,15.82,"SFQC","PRWI"
"568","2011","Salinity",0.03,0.03,17,0.01,0.03,0.04,"SFQC","PRWI"
"569","2011","Specific conductance",73.7,75.1,17,9.19,70.37,79.83,"SFQC","PRWI"
"570","2011","Temperature, water",15.5,17.6,17,5,15.03,20.17,"SFQC","PRWI"
"571","2012","Salinity",0.03,0.03,27,0.01,0.03,0.04,"SFQC","PRWI"
"572","2012","Specific conductance",67,71.23,27,17.74,64.21,78.24,"SFQC","PRWI"
"573","2012","Temperature, water",13.6,14.33,27,6.71,11.67,16.99,"SFQC","PRWI"
"574","2013","Salinity",0.03,0.03,24,0,0.03,0.03,"SFQC","PRWI"
"575","2013","Specific conductance",66.6,64.56,24,5.96,62.05,67.08,"SFQC","PRWI"
"576","2013","Temperature, water",14.45,14.85,24,8,11.48,18.23,"SFQC","PRWI"
"577","2014","Salinity",0.03,0.03,16,0,0.03,0.03,"SFQC","PRWI"
"578","2014","Specific conductance",59.1,60.48,16,5.81,57.39,63.57,"SFQC","PRWI"
"579","2014","Temperature, water",16.4,16.1,16,7.15,12.29,19.91,"SFQC","PRWI"
"580","2015","Salinity",0.03,0.03,12,0,0.02,0.03,"SFQC","PRWI"
"581","2015","Specific conductance",61.3,58.22,12,8.11,53.07,63.37,"SFQC","PRWI"
"582","2015","Temperature, water",15.4,14,12,8.23,8.77,19.23,"SFQC","PRWI"
"583","2016","Salinity",0.03,0.03,17,NA,NA,NA,"SFQC","PRWI"
"584","2016","Specific conductance",65.6,101.47,17,NA,NA,NA,"SFQC","PRWI"
"585","2016","Temperature, water",15.75,15.79,17,NA,NA,NA,"SFQC","PRWI"
"586","2017","Salinity",0.03,0.03,22,0,0.03,0.03,"SFQC","PRWI"
"587","2017","Specific conductance",66.75,66.85,22,6.93,63.78,69.93,"SFQC","PRWI"
"588","2017","Temperature, water",8.95,12.02,22,7.11,8.87,15.17,"SFQC","PRWI"
"589","2018","Salinity",0.03,0.03,29,NA,NA,NA,"SFQC","PRWI"
"590","2018","Specific conductance",65.2,65.54,29,NA,NA,NA,"SFQC","PRWI"
"591","2018","Temperature, water",9.8,12.82,29,NA,NA,NA,"SFQC","PRWI"
"592","2019","Salinity",0.03,0.03,18,0.01,0.03,0.04,"SFQC","PRWI"
"593","2019","Specific conductance",63.15,70.61,18,18.43,61.44,79.77,"SFQC","PRWI"
"594","2019","Temperature, water",16.45,15.13,18,7.1,11.6,18.66,"SFQC","PRWI"
"595","2020","Salinity",0.03,0.03,12,NA,NA,NA,"SFQC","PRWI"
"596","2020","Specific conductance",54.9,56.13,12,NA,NA,NA,"SFQC","PRWI"
"597","2020","Temperature, water",6.9,9.13,12,NA,NA,NA,"SFQC","PRWI"
"598","2021","Salinity",0.03,0.04,19,0.01,0.03,0.04,"SFQC","PRWI"
"599","2021","Specific conductance",71.7,77.11,19,17.93,68.46,85.75,"SFQC","PRWI"
"600","2021","Temperature, water",16.9,14.89,19,8.25,10.92,18.87,"SFQC","PRWI"
"601","2022","Salinity",0.03,0.03,18,0,0.03,0.03,"SFQC","PRWI"
"602","2022","Specific conductance",68.85,69,18,5.01,66.51,71.49,"SFQC","PRWI"
"603","2022","Temperature, water",13.2,13.73,18,8.89,9.31,18.15,"SFQC","PRWI"
"604","2023","Salinity",0.03,0.03,11,0,0.02,0.03,"SFQC","PRWI"
"605","2023","Specific conductance",59.2,59.22,11,4.53,56.18,62.26,"SFQC","PRWI"
"606","2023","Temperature, water",18.7,15.9,11,8.26,10.35,21.45,"SFQC","PRWI"
"607","2005","Salinity",0.04,0.04,2,0,0.04,0.04,"QUCR","PRWI"
"608","2005","Salinity",0.03,0.03,1,NA,NA,NA,"SFQR","PRWI"
"609","2005","Specific conductance",33.8,33.8,1,NA,NA,NA,"SFQR","PRWI"
"610","2005","Temperature, water",22.7,22.7,1,NA,NA,NA,"SFQR","PRWI"
"611","2005","Salinity",0.03,0.02,7,0.01,0.01,0.03,"MBBR","PRWI"
"612","2005","Specific conductance",53.1,52.79,7,6.66,46.63,58.94,"MBBR","PRWI"
"613","2005","Temperature, water",12.5,11,7,8.69,2.96,19.04,"MBBR","PRWI"
"614","2006","Salinity",0.03,0.03,10,0.01,0.02,0.03,"MBBR","PRWI"
"615","2006","Specific conductance",49.65,50.16,10,7.81,44.57,55.75,"MBBR","PRWI"
"616","2006","Temperature, water",12.15,13.2,10,6.37,8.64,17.76,"MBBR","PRWI"
"617","2007","Salinity",0.03,0.02,15,NA,NA,NA,"MBBR","PRWI"
"618","2007","Specific conductance",53.55,52.83,12,12.89,44.64,61.02,"MBBR","PRWI"
"619","2007","Temperature, water",16.95,15.24,12,4.02,12.68,17.79,"MBBR","PRWI"
"620","2008","Salinity",0.03,0.03,10,0,0.02,0.03,"MBBR","PRWI"
"621","2008","Specific conductance",52.1,53.06,10,4.77,49.65,56.47,"MBBR","PRWI"
"622","2008","Temperature, water",16.15,15.19,10,6.23,10.73,19.65,"MBBR","PRWI"
"623","2009","Salinity",0.02,0.02,9,0.01,0.02,0.03,"MBBR","PRWI"
"624","2009","Specific conductance",56.6,56.13,7,9.32,47.51,64.75,"MBBR","PRWI"
"625","2009","Temperature, water",11,12.85,8,7.05,6.96,18.74,"MBBR","PRWI"
"626","2010","Salinity",0.02,0.02,11,NA,NA,NA,"MBBR","PRWI"
"627","2010","Specific conductance",56.75,54.61,11,NA,NA,NA,"MBBR","PRWI"
"628","2010","Temperature, water",11.25,13.29,11,NA,NA,NA,"MBBR","PRWI"
"629","2011","Salinity",0.03,0.03,9,0,0.02,0.03,"MBBR","PRWI"
"630","2011","Specific conductance",59.35,57.81,10,7.85,52.19,63.43,"MBBR","PRWI"
"631","2011","Temperature, water",14.6,15.1,9,4.5,11.64,18.56,"MBBR","PRWI"
"632","2012","Salinity",0.03,0.03,11,0.01,0.03,0.03,"MBBR","PRWI"
"633","2012","Specific conductance",65.2,63.2,11,9.47,56.84,69.56,"MBBR","PRWI"
"634","2012","Temperature, water",14.2,14.27,11,5.93,10.29,18.26,"MBBR","PRWI"
"635","2013","Salinity",0.03,0.03,9,0.01,0.02,0.04,"MBBR","PRWI"
"636","2013","Specific conductance",52.8,55.93,9,8.08,49.72,62.14,"MBBR","PRWI"
"637","2013","Temperature, water",16.6,15.67,9,5.94,11.1,20.23,"MBBR","PRWI"
"638","2014","Salinity",0.02,0.02,4,0,0.01,0.03,"MBBR","PRWI"
"639","2014","Specific conductance",41.2,45.65,4,13.48,24.2,67.1,"MBBR","PRWI"
"640","2014","Temperature, water",15.65,14.53,4,5.33,6.05,23,"MBBR","PRWI"
"641","2015","Salinity",0.02,0.02,4,0,0.01,0.03,"MBBR","PRWI"
"642","2015","Specific conductance",42.35,45.9,4,8.75,31.97,59.83,"MBBR","PRWI"
"643","2015","Temperature, water",14.9,13.07,4,7.24,1.56,24.59,"MBBR","PRWI"
"644","2016","Salinity",0.02,0.02,3,0.01,0.01,0.04,"MBBR","PRWI"
"645","2016","Specific conductance",53.6,53.83,3,11.35,25.63,82.03,"MBBR","PRWI"
"646","2016","Temperature, water",16.1,14.13,3,8.03,-5.82,34.09,"MBBR","PRWI"
"647","2017","Salinity",0.03,0.03,6,0.01,0.02,0.04,"MBBR","PRWI"
"648","2017","Specific conductance",52.05,56.1,6,14.39,41,71.2,"MBBR","PRWI"
"649","2017","Temperature, water",12.15,13.27,6,6.99,5.93,20.61,"MBBR","PRWI"
"650","2018","Salinity",0.02,0.02,7,0,0.02,0.02,"MBBR","PRWI"
"651","2018","Specific conductance",45.7,108.49,7,162.97,-42.24,259.21,"MBBR","PRWI"
"652","2018","Temperature, water",19.8,14.09,7,8.36,6.35,21.82,"MBBR","PRWI"
"653","2019","Salinity",0.02,0.02,6,0.01,0.02,0.03,"MBBR","PRWI"
"654","2019","Specific conductance",51.9,55.17,6,12.77,41.76,68.57,"MBBR","PRWI"
"655","2019","Temperature, water",16.65,15.32,6,6.35,8.65,21.99,"MBBR","PRWI"
"656","2020","Salinity",0.02,0.02,6,NA,NA,NA,"MBBR","PRWI"
"657","2020","Specific conductance",42.1,45.87,6,NA,NA,NA,"MBBR","PRWI"
"658","2020","Temperature, water",8.1,258.27,6,NA,NA,NA,"MBBR","PRWI"
"659","2021","Salinity",0.03,0.03,6,0.01,0.02,0.03,"MBBR","PRWI"
"660","2021","Specific conductance",57.2,55.2,6,12.2,42.4,68,"MBBR","PRWI"
"661","2021","Temperature, water",15.45,14.47,6,7.04,7.08,21.86,"MBBR","PRWI"
"662","2022","Salinity",0.03,0.02,6,0.01,0.01,0.03,"MBBR","PRWI"
"663","2022","Specific conductance",55.25,54.13,6,14.09,39.35,68.92,"MBBR","PRWI"
"664","2022","Temperature, water",12.6,13.53,6,7.26,5.92,21.15,"MBBR","PRWI"
"665","2023","Salinity",0.02,0.02,4,0,0.02,0.02,"MBBR","PRWI"
"666","2023","Specific conductance",48,47.73,4,3.29,42.49,52.96,"MBBR","PRWI"
"667","2023","Temperature, water",18.5,15.95,4,7.9,3.38,28.52,"MBBR","PRWI"
"668","2005","Salinity",0.02,0.02,6,0.01,0.01,0.03,"SORU","PRWI"
"669","2005","Specific conductance",41.2,38.72,6,10.16,28.05,49.38,"SORU","PRWI"
"670","2005","Temperature, water",17.25,15.68,6,8.26,7.01,24.36,"SORU","PRWI"
"671","2006","Salinity",0.02,0.02,12,0.01,0.02,0.03,"SORU","PRWI"
"672","2006","Specific conductance",39,38.9,12,5.02,35.71,42.09,"SORU","PRWI"
"673","2006","Temperature, water",11.85,12.39,12,6.88,8.02,16.76,"SORU","PRWI"
"674","2007","Salinity",0.02,0.01,17,NA,NA,NA,"SORU","PRWI"
"675","2007","Specific conductance",39.55,38.06,16,6.46,34.62,41.5,"SORU","PRWI"
"676","2007","Temperature, water",14.8,14,16,3.75,12,16,"SORU","PRWI"
"677","2008","Salinity",0.02,0.02,10,0,0.02,0.02,"SORU","PRWI"
"678","2008","Specific conductance",38.25,37.16,10,5.74,33.05,41.26,"SORU","PRWI"
"679","2008","Temperature, water",16.25,14.54,10,6.74,9.72,19.36,"SORU","PRWI"
"680","2009","Salinity",0.02,0.02,10,0,0.02,0.02,"SORU","PRWI"
"681","2009","Specific conductance",44.25,42.45,8,6.19,37.28,47.62,"SORU","PRWI"
"682","2009","Temperature, water",11,12.79,9,6.93,7.46,18.12,"SORU","PRWI"
"683","2010","Salinity",0.02,0.02,11,0.01,0.01,0.02,"SORU","PRWI"
"684","2010","Specific conductance",39.8,40.17,11,7.33,35.25,45.1,"SORU","PRWI"
"685","2010","Temperature, water",12.1,13.27,11,6.65,8.8,17.74,"SORU","PRWI"
"686","2011","Salinity",0.02,0.1,8,0.22,-0.08,0.28,"SORU","PRWI"
"687","2011","Specific conductance",45.35,46.56,8,6.2,41.38,51.75,"SORU","PRWI"
"688","2011","Temperature, water",15.85,15.99,8,4.63,12.12,19.86,"SORU","PRWI"
"689","2012","Salinity",0.02,0.02,11,0.01,0.02,0.03,"SORU","PRWI"
"690","2012","Specific conductance",48.7,51.11,11,14.89,41.1,61.11,"SORU","PRWI"
"691","2012","Temperature, water",12.6,13.48,11,5.92,9.51,17.46,"SORU","PRWI"
"692","2013","Salinity",0.02,0.02,9,0,0.02,0.02,"SORU","PRWI"
"693","2013","Specific conductance",40.5,40.34,9,2.59,38.35,42.33,"SORU","PRWI"
"694","2013","Temperature, water",12.5,14.09,9,6.23,9.3,18.88,"SORU","PRWI"
"695","2014","Salinity",0.01,0.01,3,0.01,0,0.03,"SORU","PRWI"
"696","2014","Specific conductance",31.3,32.73,3,2.75,25.91,39.56,"SORU","PRWI"
"697","2014","Temperature, water",12.5,13.73,3,7.63,-5.21,32.68,"SORU","PRWI"
"698","2015","Salinity",0.01,0.01,4,0,0,0.02,"SORU","PRWI"
"699","2015","Specific conductance",32.9,34.02,4,4.64,26.64,41.41,"SORU","PRWI"
"700","2015","Temperature, water",14.25,12.6,4,6.77,1.83,23.37,"SORU","PRWI"
"701","2016","Salinity",0.01,0.01,4,0.01,0.01,0.02,"SORU","PRWI"
"702","2016","Specific conductance",36.35,37.27,4,5.06,29.22,45.33,"SORU","PRWI"
"703","2016","Temperature, water",14.15,13.33,4,6.72,2.64,24.01,"SORU","PRWI"
"704","2017","Salinity",0.02,0.02,6,0,0.02,0.02,"SORU","PRWI"
"705","2017","Specific conductance",40.7,40.47,6,4.08,36.18,44.75,"SORU","PRWI"
"706","2017","Temperature, water",9.95,11.37,6,6.72,4.31,18.42,"SORU","PRWI"
"707","2018","Salinity",0.02,0.02,6,0,0.01,0.02,"SORU","PRWI"
"708","2018","Specific conductance",36.1,36.42,6,1.91,34.42,38.42,"SORU","PRWI"
"709","2018","Temperature, water",14.3,12.37,6,8.87,3.06,21.68,"SORU","PRWI"
"710","2019","Salinity",0.02,0.02,6,0.01,0.01,0.02,"SORU","PRWI"
"711","2019","Specific conductance",36.7,38.95,6,6.84,31.77,46.13,"SORU","PRWI"
"712","2019","Temperature, water",14.6,13.72,6,6.57,6.82,20.62,"SORU","PRWI"
"713","2020","Salinity",0.02,0.02,6,NA,NA,NA,"SORU","PRWI"
"714","2020","Specific conductance",34.4,35.17,6,NA,NA,NA,"SORU","PRWI"
"715","2020","Temperature, water",6.6,8.43,6,NA,NA,NA,"SORU","PRWI"
"716","2021","Salinity",0.02,0.02,7,0,0.01,0.02,"SORU","PRWI"
"717","2021","Specific conductance",38,38.33,7,4.31,34.34,42.32,"SORU","PRWI"
"718","2021","Temperature, water",13.7,13.81,7,7.77,6.63,21,"SORU","PRWI"
"719","2022","Salinity",0.02,0.02,6,0,0.01,0.02,"SORU","PRWI"
"720","2022","Specific conductance",39.85,39.2,6,8.08,30.72,47.68,"SORU","PRWI"
"721","2022","Temperature, water",11.9,12.4,6,7.58,4.44,20.36,"SORU","PRWI"
"722","2023","Salinity",0.02,0.02,4,0,0.01,0.03,"SORU","PRWI"
"723","2023","Specific conductance",37.05,35.85,4,4.27,29.05,42.65,"SORU","PRWI"
"724","2023","Temperature, water",16.35,14.28,4,7.65,2.1,26.45,"SORU","PRWI"
"725","2004","Specific conductance",264.4,264.4,1,NA,NA,NA,"BUCK","MONO"
"726","2005","Salinity",0.16,0.17,7,0.03,0.14,0.19,"BUCK","MONO"
"727","2005","Specific conductance",321.6,314.79,14,38.64,292.48,337.1,"BUCK","MONO"
"728","2005","Temperature, water",16.55,13.74,14,6.56,9.96,17.53,"BUCK","MONO"
"729","2006","Salinity",0.11,0.13,26,0.04,0.12,0.15,"BUCK","MONO"
"730","2006","Specific conductance",272.7,281.08,26,54.35,259.13,303.04,"BUCK","MONO"
"731","2006","Temperature, water",10.6,12.14,26,6.74,9.42,14.87,"BUCK","MONO"
"732","2007","Salinity",0.18,0.16,35,0.04,0.14,0.17,"BUCK","MONO"
"733","2007","Specific conductance",359.5,337.84,32,57.53,317.1,358.59,"BUCK","MONO"
"734","2007","Temperature, water",15.3,13.21,35,8.92,10.14,16.27,"BUCK","MONO"
"735","2008","Salinity",0.2,0.18,32,0.03,0.16,0.19,"BUCK","MONO"
"736","2008","Specific conductance",340,340.6,31,45.91,323.76,357.44,"BUCK","MONO"
"737","2008","Temperature, water",8.15,11.58,31,6.99,9.01,14.14,"BUCK","MONO"
"738","2009","Salinity",0.16,0.17,30,0.02,0.16,0.17,"BUCK","MONO"
"739","2009","Specific conductance",329.35,340.28,26,34.24,326.45,354.11,"BUCK","MONO"
"740","2009","Temperature, water",17.85,14.41,28,6.77,11.79,17.04,"BUCK","MONO"
"741","2010","Salinity",0.17,0.17,36,0.03,0.16,0.18,"BUCK","MONO"
"742","2010","Specific conductance",348.7,354.99,37,47.99,338.99,370.99,"BUCK","MONO"
"743","2010","Temperature, water",15.4,11.91,36,7.66,9.32,14.5,"BUCK","MONO"
"744","2011","Salinity",0.17,0.18,28,0.04,0.16,0.19,"BUCK","MONO"
"745","2011","Specific conductance",354.2,374.48,28,77.91,344.26,404.69,"BUCK","MONO"
"746","2011","Temperature, water",14.2,14,28,7.45,11.11,16.89,"BUCK","MONO"
"747","2012","Salinity",0.15,0.16,30,0.02,0.15,0.16,"BUCK","MONO"
"748","2012","Specific conductance",315.8,324.47,30,42.83,308.48,340.47,"BUCK","MONO"
"749","2012","Temperature, water",9.05,9.58,30,6.22,7.26,11.91,"BUCK","MONO"
"750","2013","Salinity",0.15,0.15,29,0.01,0.15,0.16,"BUCK","MONO"
"751","2013","Specific conductance",321.1,317.72,29,16.99,311.25,324.18,"BUCK","MONO"
"752","2013","Temperature, water",10.1,12.48,29,8.3,9.32,15.63,"BUCK","MONO"
"753","2014","Salinity",0.17,0.16,10,0.02,0.15,0.17,"BUCK","MONO"
"754","2014","Specific conductance",358.8,341.99,10,31.75,319.28,364.7,"BUCK","MONO"
"755","2014","Temperature, water",14.05,12.88,10,7.57,7.46,18.3,"BUCK","MONO"
"756","2015","Salinity",0.17,0.19,15,0.03,0.17,0.21,"BUCK","MONO"
"757","2015","Specific conductance",362.3,402.16,15,69.43,363.71,440.61,"BUCK","MONO"
"758","2015","Temperature, water",12.8,12.23,15,7.36,8.16,16.31,"BUCK","MONO"
"759","2016","Salinity",0.16,0.16,12,0.01,0.15,0.17,"BUCK","MONO"
"760","2016","Specific conductance",327.6,337.06,12,29.79,318.13,355.99,"BUCK","MONO"
"761","2016","Temperature, water",11.25,10.62,12,8.07,5.49,15.74,"BUCK","MONO"
"762","2017","Salinity",0.19,0.18,16,0.02,0.17,0.2,"BUCK","MONO"
"763","2017","Specific conductance",389,384.49,16,39.92,363.22,405.77,"BUCK","MONO"
"764","2017","Temperature, water",10.55,9.86,16,6.6,6.34,13.37,"BUCK","MONO"
"765","2018","Salinity",0.14,0.18,20,NA,NA,NA,"BUCK","MONO"
"766","2018","Specific conductance",301.15,380.57,20,NA,NA,NA,"BUCK","MONO"
"767","2018","Temperature, water",8.6,9.75,20,NA,NA,NA,"BUCK","MONO"
"768","2019","Salinity",0.15,0.16,22,0.01,0.15,0.17,"BUCK","MONO"
"769","2019","Specific conductance",316.35,337.76,22,29.45,324.71,350.82,"BUCK","MONO"
"770","2019","Temperature, water",14.85,13.54,22,6.71,10.56,16.51,"BUCK","MONO"
"771","2020","Salinity",0.15,0.16,15,NA,NA,NA,"BUCK","MONO"
"772","2020","Specific conductance",317.1,331.81,15,NA,NA,NA,"BUCK","MONO"
"773","2020","Temperature, water",5.9,5.78,15,NA,NA,NA,"BUCK","MONO"
"774","2021","Salinity",0.18,0.21,20,0.07,0.18,0.24,"BUCK","MONO"
"775","2021","Specific conductance",380.9,443.13,20,141.1,377.09,509.17,"BUCK","MONO"
"776","2021","Temperature, water",11.6,11.22,20,8.17,7.39,15.05,"BUCK","MONO"
"777","2022","Salinity",0.19,0.18,17,0.01,0.18,0.19,"BUCK","MONO"
"778","2022","Specific conductance",393,387.08,17,11.89,380.96,393.19,"BUCK","MONO"
"779","2022","Temperature, water",12.8,10.36,17,9.42,5.51,15.2,"BUCK","MONO"
"780","2023","Salinity",0.16,0.17,10,0.02,0.16,0.19,"BUCK","MONO"
"781","2023","Specific conductance",327.35,359.82,10,45.27,327.44,392.2,"BUCK","MONO"
"782","2023","Temperature, water",10.6,11.51,10,5.99,7.23,15.79,"BUCK","MONO"
"783","2004","Specific conductance",331.4,343.07,3,20.99,290.92,395.21,"GAMI","MONO"
"784","2005","Salinity",0.24,0.24,4,0.05,0.15,0.32,"GAMI","MONO"
"785","2005","Specific conductance",492.6,491.78,4,107.89,320.09,663.46,"GAMI","MONO"
"786","2005","Temperature, water",15.5,14.8,4,1.98,11.65,17.95,"GAMI","MONO"
"787","2006","Salinity",0.18,0.19,12,0.06,0.15,0.23,"GAMI","MONO"
"788","2006","Specific conductance",389.65,407.73,12,112.97,335.96,479.51,"GAMI","MONO"
"789","2006","Temperature, water",12.2,12.21,12,4.92,9.08,15.33,"GAMI","MONO"
"790","2007","Salinity",0.23,0.23,15,0.07,0.19,0.27,"GAMI","MONO"
"791","2007","Specific conductance",466.85,469.15,15,132.79,395.62,542.69,"GAMI","MONO"
"792","2007","Temperature, water",9.3,10.89,15,5.99,7.58,14.21,"GAMI","MONO"
"793","2008","Salinity",0.23,0.23,12,0.05,0.2,0.26,"GAMI","MONO"
"794","2008","Specific conductance",476.88,475.3,12,89.8,418.25,532.35,"GAMI","MONO"
"795","2008","Temperature, water",15.7,13.18,12,5.19,9.88,16.48,"GAMI","MONO"
"796","2009","Salinity",0.23,0.24,12,0.05,0.21,0.27,"GAMI","MONO"
"797","2009","Specific conductance",496.6,496.67,10,101.97,423.72,569.62,"GAMI","MONO"
"798","2009","Temperature, water",15.85,13.87,10,5.22,10.14,17.6,"GAMI","MONO"
"799","2010","Salinity",0.22,0.23,12,0.05,0.2,0.27,"GAMI","MONO"
"800","2010","Specific conductance",455.1,474.07,13,95.05,416.63,531.51,"GAMI","MONO"
"801","2010","Temperature, water",14.45,11.63,12,5.25,8.3,14.97,"GAMI","MONO"
"802","2011","Salinity",0.26,0.26,14,0.06,0.23,0.3,"GAMI","MONO"
"803","2011","Specific conductance",525.15,543.59,14,116.21,476.49,610.69,"GAMI","MONO"
"804","2011","Temperature, water",13.6,12.64,14,5.08,9.71,15.57,"GAMI","MONO"
"805","2012","Salinity",0.21,0.21,9,0.05,0.17,0.25,"GAMI","MONO"
"806","2012","Specific conductance",442.4,433.99,9,94.15,361.62,506.36,"GAMI","MONO"
"807","2012","Temperature, water",9.7,10.38,9,6.47,5.41,15.35,"GAMI","MONO"
"808","2013","Salinity",0.24,0.24,11,0.04,0.21,0.26,"GAMI","MONO"
"809","2013","Specific conductance",488.7,488.33,11,76.35,437.04,539.62,"GAMI","MONO"
"810","2013","Temperature, water",10.7,10.75,11,6.94,6.08,15.41,"GAMI","MONO"
"811","2014","Salinity",0.23,0.25,5,0.03,0.21,0.29,"GAMI","MONO"
"812","2014","Specific conductance",474.8,518.5,5,69.47,432.24,604.76,"GAMI","MONO"
"813","2014","Temperature, water",8.4,10.84,5,5.46,4.06,17.62,"GAMI","MONO"
"814","2015","Salinity",0.23,0.24,4,0.01,0.22,0.26,"GAMI","MONO"
"815","2015","Specific conductance",487.8,493.75,4,23.94,455.66,531.84,"GAMI","MONO"
"816","2015","Temperature, water",12.6,11.43,4,7.35,-0.28,23.13,"GAMI","MONO"
"817","2016","Salinity",0.21,0.22,4,0.04,0.16,0.29,"GAMI","MONO"
"818","2016","Specific conductance",435.9,387.45,4,195,77.16,697.74,"GAMI","MONO"
"819","2016","Temperature, water",11.3,10.95,4,7.72,-1.33,23.23,"GAMI","MONO"
"820","2017","Salinity",0.27,0.27,5,0.05,0.21,0.32,"GAMI","MONO"
"821","2017","Specific conductance",560.9,544.8,5,93.2,429.08,660.52,"GAMI","MONO"
"822","2017","Temperature, water",10.6,10.6,5,5.04,4.35,16.85,"GAMI","MONO"
"823","2018","Salinity",0.16,0.17,8,0.05,0.13,0.21,"GAMI","MONO"
"824","2018","Specific conductance",349.45,365.3,8,96.73,284.43,446.17,"GAMI","MONO"
"825","2018","Temperature, water",16,12.14,8,6.79,6.46,17.81,"GAMI","MONO"
"826","2019","Salinity",0.2,0.21,6,0.04,0.17,0.25,"GAMI","MONO"
"827","2019","Specific conductance",394.3,348.07,6,151.08,189.52,506.62,"GAMI","MONO"
"828","2019","Temperature, water",13.95,12.32,6,5.27,6.79,17.85,"GAMI","MONO"
"829","2020","Salinity",0.16,0.18,6,NA,NA,NA,"GAMI","MONO"
"830","2020","Specific conductance",335.5,376.57,6,NA,NA,NA,"GAMI","MONO"
"831","2020","Temperature, water",6.8,7.3,6,NA,NA,NA,"GAMI","MONO"
"832","2021","Salinity",0.23,0.23,6,0.04,0.18,0.28,"GAMI","MONO"
"833","2021","Specific conductance",487.65,479.85,6,93.22,382.02,577.68,"GAMI","MONO"
"834","2021","Temperature, water",13,11.65,6,5.9,5.46,17.84,"GAMI","MONO"
"835","2022","Salinity",0.22,0.23,6,0.04,0.19,0.26,"GAMI","MONO"
"836","2022","Specific conductance",451.3,468.9,6,70.41,395.01,542.79,"GAMI","MONO"
"837","2022","Temperature, water",8.3,9.52,6,7.21,1.95,17.08,"GAMI","MONO"
"838","2023","Salinity",0.23,0.23,4,0.07,0.12,0.33,"GAMI","MONO"
"839","2023","Specific conductance",477.95,470.95,4,131.4,261.86,680.04,"GAMI","MONO"
"840","2023","Temperature, water",12.55,11.9,4,4.76,4.33,19.47,"GAMI","MONO"
"841","2005","Salinity",0.26,0.31,4,0.16,0.06,0.56,"EGWA","ROCR"
"842","2005","Specific conductance",533.8,582.51,8,232.71,387.96,777.06,"EGWA","ROCR"
"843","2005","Temperature, water",19,16.16,8,7.51,9.88,22.44,"EGWA","ROCR"
"844","2006","Salinity",0.2,0.33,23,0.39,0.16,0.5,"EGWA","ROCR"
"845","2006","Specific conductance",392.6,667.79,23,758.49,339.8,995.79,"EGWA","ROCR"
"846","2006","Temperature, water",14.8,13.63,23,8.69,9.87,17.39,"EGWA","ROCR"
"847","2007","Salinity",0.26,0.24,8,0.06,0.19,0.29,"EGWA","ROCR"
"848","2007","Specific conductance",524.75,499.91,8,119.35,400.12,599.69,"EGWA","ROCR"
"849","2007","Temperature, water",22.6,18.78,8,7.06,12.87,24.68,"EGWA","ROCR"
"850","2005","Salinity",0.36,0.38,4,0.09,0.23,0.52,"FEBR","ROCR"
"851","2005","Specific conductance",822,765.43,7,144.62,631.67,899.18,"FEBR","ROCR"
"852","2005","Temperature, water",17.3,15.37,7,6.99,8.91,21.83,"FEBR","ROCR"
"853","2006","Salinity",0.4,0.57,26,0.65,0.31,0.84,"FEBR","ROCR"
"854","2006","Specific conductance",753.5,1080.96,26,1157.55,613.42,1548.51,"FEBR","ROCR"
"855","2006","Temperature, water",9.5,11.7,26,7.03,8.86,14.54,"FEBR","ROCR"
"856","2007","Salinity",0.4,0.41,21,0.15,0.34,0.48,"FEBR","ROCR"
"857","2007","Specific conductance",836.5,797.36,23,247.02,690.54,904.18,"FEBR","ROCR"
"858","2007","Temperature, water",9.9,12.13,23,8.19,8.58,15.67,"FEBR","ROCR"
"859","2008","Salinity",0.4,0.37,17,0.14,0.29,0.44,"FEBR","ROCR"
"860","2008","Specific conductance",824,751.79,19,270.85,621.25,882.34,"FEBR","ROCR"
"861","2008","Temperature, water",13.3,13.58,17,6.92,10.02,17.14,"FEBR","ROCR"
"862","2009","Salinity",0.41,0.38,10,0.13,0.29,0.47,"FEBR","ROCR"
"863","2009","Specific conductance",821,750.39,9,259.24,551.12,949.66,"FEBR","ROCR"
"864","2009","Temperature, water",13.1,13.41,9,6.45,8.45,18.37,"FEBR","ROCR"
"865","2010","Salinity",0.39,0.37,13,0.09,0.31,0.42,"FEBR","ROCR"
"866","2010","Specific conductance",800,743.16,13,183.06,632.54,853.79,"FEBR","ROCR"
"867","2010","Temperature, water",14.4,14.72,13,5.87,11.17,18.26,"FEBR","ROCR"
"868","2011","Salinity",0.31,0.31,11,0.1,0.24,0.37,"FEBR","ROCR"
"869","2011","Specific conductance",647,643.99,11,197.53,511.29,776.69,"FEBR","ROCR"
"870","2011","Temperature, water",13.1,14.53,11,6.98,9.84,19.22,"FEBR","ROCR"
"871","2012","Salinity",0.28,0.34,17,0.23,0.23,0.46,"FEBR","ROCR"
